participant,vowel,group,test,duration,f1@50,f2@50
C06stLV,hard,LV,post,317,1039,1487
C06stLV,hayed,LV,post,324,435,2906
C06stLV,head,LV,post,155,663,2405
C06stLV,hear,LV,post,354,829,2276
C06stLV,heard,LV,post,251,602,1695
C06stLV,heed,LV,post,291,433,3287
C06stLV,hid,LV,post,125,501,2359
C06stLV,hide,LV,post,343,945,2151
C06stLV,hoard,LV,post,332,641,1264
C06stLV,hod,LV,post,165,672,1581
C06stLV,hoed,LV,post,409,466,1459
C06stLV,hood,LV,post,116,485,2026
C06stLV,howd,LV,post,445,820,1448
C06stLV,hoyd,LV,post,409,651,2375
C06stLV,whod,LV,post,307,393,1375
C06stLV,hud,LV,post,104,1185,1557
C07stLV,had,LV,post,195,1102,1745
C07stLV,haired,LV,post,240,837,2364
C07stLV,hard,LV,post,282,1066,1547
C07stLV,hayed,LV,post,345,744,2304
C07stLV,head,LV,post,173,891,2610
C07stLV,hear,LV,post,394,855,2426
C07stLV,heard,LV,post,309,811,2442
C07stLV,heed,LV,post,289,498,3331
C07stLV,hid,LV,post,146,740,2822
C07stLV,hide,LV,post,322,1048,2024
C07stLV,hoard,LV,post,365,711,1107
C07stLV,hod,LV,post,154,775,1278
C07stLV,hoed,LV,post,171,793,2385
C07stLV,hood,LV,post,165,809,1832
C07stLV,howd,LV,post,384,1060,1851
C07stLV,hoyd,LV,post,453,681,1348
C07stLV,hud,LV,post,131,974,1736
C07stLV,whod,LV,post,353,517,2164
C08stLV,had,LV,post,188,972,1914
C08stLV,haired,LV,post,296,670,2309
C08stLV,hard,LV,post,292,890,1405
C08stLV,hayed,LV,post,352,440,1405
C08stLV,head,LV,post,154,819,847
C08stLV,hear,LV,post,401,460,1556
C08stLV,heard,LV,post,314,669,2008
C08stLV,heed,LV,post,253,382,3357
C08stLV,hid,LV,post,118,452,3323
C08stLV,hide,LV,post,320,918,1633
C08stLV,hoard,LV,post,250,645,1281
C08stLV,hod,LV,post,111,672,1356
C08stLV,hoed,LV,post,436,453,2316
C08stLV,hood,LV,post,157,645,1480
C08stLV,howd,LV,post,361,1012,1782
C08stLV,hoyd,LV,post,239,650,1648
C08stLV,hud,LV,post,102,844,1766
C08stLV,whod,LV,post,345,392,2605
C09stLV,had,LV,post,192,838,1361
C09stLV,haired,LV,post,333,785,1477
C09stLV,hard,LV,post,241,797,1526
C09stLV,hayed,LV,post,272,718,2490
C09stLV,head,LV,post,147,843,1618
C09stLV,hear,LV,post,298,787,1785
C09stLV,heard,LV,post,242,794,2073
C09stLV,heed,LV,post,304,563,2454
C09stLV,hid,LV,post,172,734,2413
C09stLV,hide,LV,post,279,784,1516
C09stLV,hoard,LV,post,284,702,1372
C09stLV,hod,LV,post,136,808,1379
C09stLV,hoed,LV,post,266,530,1591
C09stLV,hood,LV,post,141,791,2316
C09stLV,howd,LV,post,250,803,1519
C09stLV,hoyd,LV,post,333,779,1576
C09stLV,hud,LV,post,152,1000,1631
C09stLV,whod,LV,post,265,551,1570
