participant,vowel,group,test,duration,f1@50,f2@50
C02stHV,hard,HV,post,194,1012,1231
C02stHV,hayed,HV,post,274,714,2478
C02stHV,head,HV,post,128,952,1833
C02stHV,hear,HV,post,334,1099,1984
C02stHV,heard,HV,post,259,697,1470
C02stHV,heed,HV,post,240,488,3166
C02stHV,hid,HV,post,137,604,2389
C02stHV,hide,HV,post,257,867,1963
C02stHV,hoard,HV,post,243,760,1231
C02stHV,hod,HV,post,123,771,1496
C02stHV,hoed,HV,post,273,565,2407
C02stHV,hood,HV,post,74,533,1835
C02stHV,howd,HV,post,256,1146,1864
C02stHV,hoyd,HV,post,274,770,2117
C02stHV,hud,HV,post,132,774,1609
C02stHV,whod,HV,post,255,535,1424
C03stHV,had,HV,post,204,947,1614
C03stHV,haired,HV,post,232,666,1809
C03stHV,hard,HV,post,244,1049,1361
C03stHV,hayed,HV,post,282,502,2927
C03stHV,head,HV,post,118,921,2476
C03stHV,hear,HV,post,234,526,3198
C03stHV,heard,HV,post,229,607,1899
C03stHV,heed,HV,post,266,494,2895
C03stHV,hid,HV,post,155,493,2407
C03stHV,hide,HV,post,250,997,1680
C03stHV,hoard,HV,post,227,641,1113
C03stHV,hod,HV,post,75,843,1525
C03stHV,hoed,HV,post,249,529,2377
C03stHV,hood,HV,post,157,509,2015
C03stHV,howd,HV,post,190,1137,1631
C03stHV,hoyd,HV,post,248,730,1567
C03stHV,hud,HV,post,202,1089,1725
C03stHV,whod,HV,post,236,526,1680
C04stHV,had,HV,post,169,1227,2111
C04stHV,haired,HV,post,224,1239,1615
C04stHV,hard,HV,post,225,869,1570
C04stHV,hayed,HV,post,256,666,2205
C04stHV,head,HV,post,174,1035,2632
C04stHV,hear,HV,post,331,1149,2151
C04stHV,heard,HV,post,259,772,1847
C04stHV,heed,HV,post,322,659,2918
C04stHV,hid,HV,post,176,656,2328
C04stHV,hide,HV,post,272,1306,2275
C04stHV,hoard,HV,post,231,756,1336
C04stHV,hod,HV,post,224,779,1422
C04stHV,hoed,HV,post,249,648,1794
C04stHV,hood,HV,post,159,680,1854
C04stHV,howd,HV,post,270,1090,1854
C04stHV,hoyd,HV,post,230,641,2422
C04stHV,hud,HV,post,101,1331,1737
C04stHV,whod,HV,post,243,485,1904
C05stHV,had,HV,post,184,1249,2045
C05stHV,haired,HV,post,352,971,2441
C05stHV,hard,HV,post,338,1076,1684
C05stHV,hayed,HV,post,309,597,3137
C05stHV,head,HV,post,239,948,2596
C05stHV,hear,HV,post,390,770,2031
C05stHV,heard,HV,post,286,451,972
C05stHV,heed,HV,post,318,431,3282
C05stHV,hid,HV,post,137,540,2818
C05stHV,hide,HV,post,404,849,1452
C05stHV,hoard,HV,post,243,894,1329
C05stHV,hod,HV,post,120,877,1582
C05stHV,hoed,HV,post,278,782,2238
C05stHV,hood,HV,post,233,642,2280
C05stHV,howd,HV,post,213,1102,1759
C05stHV,hoyd,HV,post,365,516,1751
C05stHV,hud,HV,post,149,1174,2026
C05stHV,whod,HV,post,237,460,1648
C06stHV,had,HV,post,127,1068,1802
C06stHV,haired,HV,post,300,519,1308
C06stHV,hard,HV,post,317,1039,1487
C06stHV,hayed,HV,post,324,435,2906
C06stHV,head,HV,post,155,663,2405
C06stHV,hear,HV,post,354,829,2276
C06stHV,heard,HV,post,251,602,1695
C06stHV,heed,HV,post,291,433,3287
C06stHV,hid,HV,post,125,501,2359
C06stHV,hide,HV,post,343,945,2151
C06stHV,hoard,HV,post,332,641,1264
C06stHV,hod,HV,post,165,672,1581
C06stHV,hoed,HV,post,409,466,1459
C06stHV,hood,HV,post,116,485,2026
C06stHV,howd,HV,post,445,820,1448
C06stHV,hoyd,HV,post,409,651,2375
C06stHV,whod,HV,post,307,393,1375
C06stHV,hud,HV,post,104,1185,1557
C07stHV,had,HV,post,195,1102,1745
C07stHV,haired,HV,post,240,837,2364
C07stHV,hard,HV,post,282,1066,1547
C07stHV,hayed,HV,post,345,744,2304
C07stHV,head,HV,post,173,891,2610
C07stHV,hear,HV,post,394,855,2426
C07stHV,heard,HV,post,309,811,2442
C07stHV,heed,HV,post,289,498,3331
C07stHV,hid,HV,post,146,740,2822
C07stHV,hide,HV,post,322,1048,2024
C07stHV,hoard,HV,post,365,711,1107
C07stHV,hod,HV,post,154,775,1278
C07stHV,hoed,HV,post,171,793,2385
C07stHV,hood,HV,post,165,809,1832
C07stHV,howd,HV,post,384,1060,1851
C07stHV,hoyd,HV,post,453,681,1348
C07stHV,hud,HV,post,131,974,1736
C07stHV,whod,HV,post,353,517,2164
C08stHV,had,HV,post,188,972,1914
C08stHV,haired,HV,post,296,670,2309
C08stHV,hard,HV,post,292,890,1405
C08stHV,hayed,HV,post,352,440,1405
C08stHV,head,HV,post,154,819,847
C08stHV,hear,HV,post,401,460,1556
C08stHV,heard,HV,post,314,669,2008
C08stHV,heed,HV,post,253,382,3357
C08stHV,hid,HV,post,118,452,3323
C08stHV,hide,HV,post,320,918,1633
C08stHV,hoard,HV,post,250,645,1281
C08stHV,hod,HV,post,111,672,1356
C08stHV,hoed,HV,post,436,453,2316
C08stHV,hood,HV,post,157,645,1480
C08stHV,howd,HV,post,361,1012,1782
C08stHV,hoyd,HV,post,239,650,1648
C08stHV,hud,HV,post,102,844,1766
C08stHV,whod,HV,post,345,392,2605
C09stHV,had,HV,post,192,838,1361
C09stHV,haired,HV,post,333,785,1477
C09stHV,hard,HV,post,241,797,1526
C09stHV,hayed,HV,post,272,718,2490
C09stHV,head,HV,post,147,843,1618
C09stHV,hear,HV,post,298,787,1785
C09stHV,heard,HV,post,242,794,2073
C09stHV,heed,HV,post,304,563,2454
C09stHV,hid,HV,post,172,734,2413
C09stHV,hide,HV,post,279,784,1516
C09stHV,hoard,HV,post,284,702,1372
C09stHV,hod,HV,post,136,808,1379
C09stHV,hoed,HV,post,266,530,1591
C09stHV,hood,HV,post,141,791,2316
C09stHV,howd,HV,post,250,803,1519
C09stHV,hoyd,HV,post,333,779,1576
C09stHV,hud,HV,post,152,1000,1631
C09stHV,whod,HV,post,265,551,1570
